respondent_id,role,experience,primary_tool,overall_preference,chart_bar_chart,chart_line_chart,chart_scatter_plot,chart_pie_chart,chart_heatmap,aspect_color_palette,aspect_layout,aspect_typography,aspect_readability,aspect_overall_aesthetics,time_saved_min,would_reuse_ai
1,Other,< 1 year,Matplotlib,4,3,2,2,5,4,4,1,2,3,4,6.2,Maybe
2,Developer,1-3 years,ggplot2,4,5,1,5,4,3,3,5,3,2,2,13.2,Maybe
3,Student,3-5 years,D3.js,1,4,2,5,2,3,4,5,3,3,2,10.7,Maybe
4,Data Analyst,< 1 year,ggplot2,3,4,4,4,3,3,5,4,4,3,4,6.3,Yes
5,Developer,3-5 years,Power BI,4,3,3,5,2,5,5,4,2,5,4,16.9,Yes
6,Other,5-10 years,Seaborn,3,3,4,3,4,5,3,3,5,4,2,12.6,Yes
7,Researcher,1-3 years,Power BI,2,4,4,4,4,4,3,4,5,4,2,28.0,Maybe
8,Designer,< 1 year,Plotly,3,4,5,5,3,4,3,5,5,3,4,9.2,No
9,Data Analyst,3-5 years,D3.js,2,5,5,5,4,4,2,3,5,5,3,18.6,Yes
10,Other,5-10 years,D3.js,1,5,5,2,4,4,3,5,4,3,4,28.3,Maybe
11,Data Analyst,3-5 years,ggplot2,5,4,4,4,2,3,3,4,3,3,2,14.1,Maybe
12,Designer,< 1 year,Tableau,2,4,3,2,5,4,4,5,5,3,2,13.8,Yes
13,Developer,5-10 years,ggplot2,5,2,4,4,2,5,5,2,3,4,2,21.6,Maybe
14,Researcher,5-10 years,D3.js,5,4,2,5,5,5,5,5,3,4,3,26.1,Yes
15,Researcher,1-3 years,ggplot2,1,4,5,5,3,4,4,5,4,4,3,18.6,Maybe
16,Researcher,3-5 years,Matplotlib,1,4,5,4,2,4,5,2,2,5,4,20.7,Maybe
17,Student,1-3 years,Tableau,4,4,4,4,4,5,3,4,3,3,4,15.8,Maybe
18,Researcher,< 1 year,ggplot2,4,4,2,4,4,2,3,2,3,3,4,24.6,Yes
19,Designer,> 10 years,D3.js,4,1,5,3,4,5,2,2,2,4,3,7.9,Yes
20,Other,3-5 years,Tableau,4,5,5,2,4,3,1,5,4,3,4,10.2,Yes
21,Developer,> 10 years,Matplotlib,2,5,4,2,1,4,4,4,1,3,5,20.2,Yes
22,Other,1-3 years,Power BI,2,5,5,4,4,3,5,5,5,5,5,17.6,Yes
23,Other,3-5 years,D3.js,5,5,5,5,3,5,2,5,5,3,5,11.4,Maybe
24,Data Analyst,1-3 years,Matplotlib,4,4,3,2,5,4,4,4,5,3,1,19.7,Maybe
25,Designer,1-3 years,Tableau,5,3,2,4,5,3,4,4,3,4,3,17.9,Maybe
26,Student,1-3 years,Plotly,3,5,5,4,4,2,5,4,4,3,4,17.6,Yes
27,Data Analyst,5-10 years,Power BI,5,4,5,4,3,4,1,3,4,4,4,9.6,Yes
28,Developer,1-3 years,Power BI,1,4,4,3,5,5,4,3,3,1,3,19.9,Yes
29,Researcher,5-10 years,ggplot2,5,4,5,4,4,2,4,5,5,5,5,20.8,No
30,Developer,< 1 year,Tableau,2,5,4,5,4,5,4,5,5,4,4,32.2,Yes
31,Student,5-10 years,Seaborn,4,4,3,3,4,5,4,4,3,2,3,17.0,Yes
32,Data Analyst,1-3 years,Seaborn,3,3,3,4,3,4,2,5,3,5,5,25.0,Yes
33,Student,5-10 years,ggplot2,1,4,5,5,5,4,4,4,4,3,3,16.2,Yes
34,Other,5-10 years,Power BI,2,4,2,4,1,4,4,1,4,2,4,18.8,Yes
35,Developer,3-5 years,Seaborn,4,3,5,3,5,4,5,4,4,2,5,18.5,Maybe
36,Researcher,< 1 year,Seaborn,2,1,3,2,4,4,3,4,5,3,4,21.0,Maybe
37,Researcher,1-3 years,Plotly,2,1,3,4,5,4,4,2,4,4,2,20.2,No
38,Researcher,> 10 years,D3.js,1,4,4,2,4,1,4,4,4,3,5,2.6,Yes
39,Data Analyst,5-10 years,Seaborn,4,5,3,5,4,4,4,4,3,5,5,32.1,Yes
40,Developer,> 10 years,Tableau,4,3,4,3,4,4,3,3,4,5,4,26.6,Yes
41,Data Analyst,< 1 year,Seaborn,4,4,5,4,4,4,5,2,3,4,3,10.1,Yes
42,Developer,> 10 years,Plotly,3,4,3,3,5,3,4,5,4,3,4,13.6,Yes
43,Student,> 10 years,Tableau,3,2,3,3,3,1,4,3,5,4,4,29.3,Yes
44,Researcher,> 10 years,Plotly,4,4,3,2,5,4,5,4,2,4,2,29.5,Yes
45,Student,3-5 years,Matplotlib,5,2,5,4,5,3,4,4,4,5,5,14.2,No
46,Other,< 1 year,D3.js,2,3,4,3,3,2,1,4,4,3,3,28.5,Maybe
47,Other,5-10 years,Matplotlib,4,5,5,4,4,5,4,4,4,5,5,22.3,Yes
48,Other,> 10 years,Plotly,3,4,3,4,3,4,4,4,5,4,4,20.1,Yes
49,Data Analyst,> 10 years,Tableau,5,5,4,3,1,5,4,4,5,3,4,11.8,Yes
50,Designer,5-10 years,Plotly,3,2,3,4,4,4,4,5,1,2,3,11.0,Yes
51,Developer,> 10 years,D3.js,5,4,4,4,3,4,5,4,5,3,4,25.7,No
52,Researcher,< 1 year,Power BI,4,3,3,4,4,2,5,5,4,2,5,14.2,Yes
53,Other,3-5 years,Tableau,4,4,4,4,4,2,3,4,4,2,2,20.2,Yes
54,Student,3-5 years,D3.js,1,5,5,4,4,5,4,4,3,5,3,2.5,Maybe
55,Data Analyst,1-3 years,Tableau,3,5,4,3,4,5,3,5,5,4,3,22.1,Maybe
56,Designer,< 1 year,D3.js,5,2,5,1,2,5,5,2,5,3,4,17.1,Yes
57,Researcher,3-5 years,D3.js,4,4,5,4,5,4,4,4,3,4,3,18.5,Maybe
58,Other,< 1 year,ggplot2,2,3,1,3,2,4,4,3,4,4,3,21.4,Yes
59,Student,5-10 years,Tableau,4,4,4,3,4,4,4,5,4,3,4,35.2,Maybe
60,Designer,5-10 years,Power BI,3,5,3,4,4,3,4,4,5,3,5,26.6,No
61,Designer,< 1 year,Tableau,5,5,5,5,5,5,5,5,3,5,3,20.2,Maybe
62,Other,1-3 years,Power BI,1,4,1,5,1,4,2,5,3,4,3,23.7,Maybe
63,Designer,> 10 years,Tableau,5,5,3,5,4,5,4,3,2,5,2,33.5,Maybe
64,Developer,> 10 years,Plotly,1,4,3,2,4,5,3,3,4,3,4,14.7,Yes
65,Student,> 10 years,Plotly,5,3,2,5,5,3,4,2,5,3,4,31.7,Yes
66,Developer,3-5 years,Power BI,5,4,4,4,5,5,4,5,4,5,3,27.6,No
67,Data Analyst,5-10 years,ggplot2,5,5,2,4,4,5,3,3,3,2,5,6.7,No
68,Student,< 1 year,Matplotlib,5,3,2,4,2,5,3,3,5,3,2,21.3,Maybe
69,Researcher,3-5 years,D3.js,5,5,4,5,2,5,2,3,5,4,1,17.6,Yes
70,Researcher,< 1 year,ggplot2,3,4,4,4,3,4,4,5,4,3,4,22.1,Yes
71,Developer,5-10 years,ggplot2,4,4,5,2,2,4,2,3,4,4,3,27.8,Yes
72,Student,5-10 years,Matplotlib,5,2,4,5,4,5,4,5,4,5,3,17.7,Maybe
73,Designer,5-10 years,Plotly,4,4,3,5,2,5,2,2,4,5,4,9.2,Yes
74,Researcher,5-10 years,Plotly,5,5,4,5,2,3,3,2,4,3,4,12.7,Maybe
75,Designer,> 10 years,Plotly,2,3,3,4,4,5,4,4,4,4,4,17.3,Yes
76,Designer,3-5 years,Plotly,1,5,4,4,2,4,1,4,3,4,3,16.2,Yes
77,Other,3-5 years,D3.js,5,4,5,3,5,1,2,4,4,4,4,20.1,Yes
78,Researcher,3-5 years,Power BI,4,4,4,1,4,4,1,3,3,2,3,27.4,Yes
79,Researcher,5-10 years,Power BI,3,2,4,3,4,4,3,3,4,4,4,24.1,Yes
80,Developer,5-10 years,Plotly,2,1,3,5,4,5,5,2,5,3,4,21.3,Yes
81,Developer,3-5 years,Power BI,3,3,3,4,2,4,5,3,4,5,5,18.4,Yes
82,Student,1-3 years,D3.js,5,2,5,4,4,4,4,4,5,4,5,22.5,Yes
83,Other,3-5 years,Seaborn,3,4,4,5,4,4,2,4,1,3,3,4.5,Yes
84,Student,> 10 years,ggplot2,4,4,5,5,4,5,4,3,4,3,2,0.6,Yes
85,Designer,< 1 year,Tableau,4,1,5,5,4,4,3,5,3,5,4,28.7,Yes
86,Designer,< 1 year,Tableau,4,3,5,4,5,5,3,4,2,3,5,21.6,No
87,Developer,1-3 years,Tableau,4,2,4,4,3,2,4,5,5,5,2,13.4,Yes
88,Designer,1-3 years,Seaborn,3,5,3,5,3,3,5,4,4,4,4,9.6,No
89,Student,1-3 years,Tableau,3,3,5,5,5,3,4,4,4,3,4,15.1,Yes
90,Student,1-3 years,Plotly,5,5,5,3,4,4,4,5,5,4,4,31.0,Yes
91,Data Analyst,> 10 years,Seaborn,5,2,4,4,5,5,4,2,2,3,4,3.0,Yes
92,Data Analyst,5-10 years,Plotly,5,4,4,4,4,2,3,3,2,4,3,16.7,Yes
93,Researcher,3-5 years,D3.js,4,5,5,4,4,5,1,3,2,5,4,5.7,Yes
94,Researcher,< 1 year,Seaborn,3,5,4,2,5,4,1,4,3,2,4,24.4,No
95,Data Analyst,> 10 years,ggplot2,2,4,4,4,5,4,5,4,1,5,1,12.1,Maybe
96,Designer,< 1 year,Plotly,2,4,2,4,5,2,3,3,4,5,4,23.0,Maybe
97,Developer,1-3 years,D3.js,2,5,5,1,3,5,5,3,3,3,5,15.8,No
98,Designer,3-5 years,D3.js,5,5,3,2,4,5,4,5,3,5,4,18.4,Yes
99,Student,3-5 years,D3.js,1,4,4,5,3,3,2,3,3,4,4,22.3,Yes
100,Other,3-5 years,Tableau,5,3,5,5,2,4,3,5,4,5,2,25.5,No
101,Developer,< 1 year,Seaborn,1,5,4,4,4,4,4,5,3,5,4,10.1,No
102,Data Analyst,< 1 year,Matplotlib,4,4,4,4,3,3,4,5,3,5,4,16.5,Yes
103,Researcher,5-10 years,Seaborn,5,4,2,4,5,3,3,2,4,5,5,13.6,No
104,Designer,> 10 years,Seaborn,2,3,2,5,1,4,3,5,4,4,2,0.2,Yes
105,Other,5-10 years,Tableau,3,4,4,2,3,2,4,4,2,5,4,6.4,Yes
106,Student,< 1 year,D3.js,2,3,3,3,5,3,5,5,5,3,4,10.8,Yes
107,Data Analyst,3-5 years,Tableau,4,4,3,5,3,4,4,4,5,4,5,20.4,No
108,Student,3-5 years,Power BI,2,4,4,1,5,4,4,3,3,5,4,18.4,Yes
109,Other,< 1 year,Seaborn,3,4,3,4,3,5,4,5,5,2,3,11.5,Yes
110,Designer,5-10 years,Seaborn,2,2,5,5,4,5,5,5,5,4,3,15.4,Yes
111,Student,5-10 years,ggplot2,5,4,2,4,4,3,4,1,3,4,5,14.9,Yes
112,Researcher,5-10 years,Seaborn,5,5,5,4,4,4,3,4,2,4,5,12.2,Yes
113,Student,> 10 years,Matplotlib,2,2,4,5,4,4,2,4,4,1,1,14.7,Yes
114,Data Analyst,> 10 years,Tableau,2,5,3,4,4,5,4,4,4,4,4,3.9,Yes
115,Researcher,3-5 years,Plotly,4,5,4,5,5,4,1,4,5,5,5,6.7,Yes
116,Data Analyst,> 10 years,Power BI,4,5,4,5,3,4,4,3,4,4,4,12.0,Yes
117,Student,> 10 years,ggplot2,5,5,2,2,3,3,4,4,3,3,5,13.9,Maybe
118,Other,3-5 years,Tableau,4,5,3,3,5,5,5,4,4,4,4,24.3,Yes
119,Other,3-5 years,Plotly,2,4,4,5,5,5,5,3,3,4,3,12.2,Yes
120,Data Analyst,> 10 years,Plotly,5,4,2,4,4,3,4,4,4,2,4,20.2,Maybe
